sensor_id,location,date,temp
1,LivingRoom,2015-06-30,26.22
1,LivingRoom,2015-07-01,28.31
1,LivingRoom,2015-07-02,27.51
1,LivingRoom,2015-07-03,28.48
1,LivingRoom,2015-07-04,28.07
1,LivingRoom,2015-07-05,25.4
1,LivingRoom,2015-07-07,28.26
1,LivingRoom,2015-07-10,28.84
1,LivingRoom,2015-07-11,27.4
1,LivingRoom,2015-07-12,27.41
1,LivingRoom,2015-07-17,29.21
2,Room,2015-07-17,29.89
1,LivingRoom,2015-07-18,29.34
2,Room,2015-07-18,29.9
1,LivingRoom,2015-07-19,29.82
2,Room,2015-07-19,30.46
1,LivingRoom,2015-07-20,29.46
2,Room,2015-07-20,30.13
1,LivingRoom,2015-07-21,30.02
2,Room,2015-07-21,30.72
1,LivingRoom,2015-07-22,29.99
2,Room,2015-07-22,30.69
1,LivingRoom,2015-07-23,29.21
2,Room,2015-07-23,29.92
1,LivingRoom,2015-07-24,29.09
2,Room,2015-07-24,30.06
1,LivingRoom,2015-07-25,28.37
2,Room,2015-07-25,28.82
1,LivingRoom,2015-07-29,31.94
2,Room,2015-07-29,31.39
1,LivingRoom,2015-07-30,31.14
2,Room,2015-07-30,31.96
1,LivingRoom,2015-07-31,30.47
2,Room,2015-07-31,31.34
1,LivingRoom,2015-08-01,30.57
2,Room,2015-08-01,30.07
1,LivingRoom,2015-08-02,29.56
2,Room,2015-08-02,30.22
1,LivingRoom,2015-08-03,29.04
2,Room,2015-08-03,29.88
1,LivingRoom,2015-08-04,29.64
2,Room,2015-08-04,30.43
1,LivingRoom,2015-08-05,29.8
2,Room,2015-08-05,30.36
1,LivingRoom,2015-10-23,24.81
2,Room,2015-10-23,25.39
1,LivingRoom,2015-10-24,25.94
2,Room,2015-10-24,27.45
1,LivingRoom,2015-10-25,25.38
2,Room,2015-10-25,26.45
1,LivingRoom,2015-10-26,24.98
2,Room,2015-10-26,25.6
1,LivingRoom,2015-10-27,24.86
2,Room,2015-10-27,25.21
1,LivingRoom,2015-10-28,25
2,Room,2015-10-28,25.4
1,LivingRoom,2015-10-29,23.76
2,Room,2015-10-29,24.16
1,LivingRoom,2015-10-30,23.57
2,Room,2015-10-30,23.85
1,LivingRoom,2015-11-01,25.35
2,Room,2015-11-01,25.78
1,LivingRoom,2015-11-06,24.65
2,Room,2015-11-06,25.24
1,LivingRoom,2015-11-07,26.56
2,Room,2015-11-07,27.95
1,LivingRoom,2015-11-08,26.47
2,Room,2015-11-08,27.45
1,LivingRoom,2015-11-09,26.14
2,Room,2015-11-09,27.26
1,LivingRoom,2015-11-10,26.19
2,Room,2015-11-10,26.87
1,LivingRoom,2015-11-11,25.75
2,Room,2015-11-11,26.68
1,LivingRoom,2015-11-12,25.44
2,Room,2015-11-12,26.43
1,LivingRoom,2015-11-13,25.33
2,Room,2015-11-13,26.28
1,LivingRoom,2015-11-14,26.16
2,Room,2015-11-14,26.75
1,LivingRoom,2015-11-15,25.84
2,Room,2015-11-15,26.27
1,LivingRoom,2015-11-16,25.34
2,Room,2015-11-16,26.11
1,LivingRoom,2015-11-17,25.76
2,Room,2015-11-17,26.43
1,LivingRoom,2015-11-21,26.42
2,Room,2015-11-21,26.93
1,LivingRoom,2015-11-22,25.68
2,Room,2015-11-22,26.53
1,LivingRoom,2015-11-23,26.66
2,Room,2015-11-23,27.13
1,LivingRoom,2015-11-27,25.89
2,Room,2015-11-27,26.9
1,LivingRoom,2015-11-30,25.25
2,Room,2015-11-30,25.63
1,LivingRoom,2015-12-01,25.35
1,LivingRoom,2015-12-02,24.1
2,Room,2015-12-02,24.7
1,LivingRoom,2015-12-03,24.16
2,Room,2015-12-03,24.83
1,LivingRoom,2015-12-08,23.95
2,Room,2015-12-08,24.77
1,LivingRoom,2015-12-09,24.61
2,Room,2015-12-09,25.08
1,LivingRoom,2015-12-10,24.97
2,Room,2015-12-10,25.44
1,LivingRoom,2015-12-11,24.87
2,Room,2015-12-11,25.44
1,LivingRoom,2015-12-12,24.79
2,Room,2015-12-12,25.22
1,LivingRoom,2015-12-13,26.06
2,Room,2015-12-13,26.55
2,Room,2015-12-15,26.32
1,LivingRoom,2015-12-15,25.66
2,Room,2015-12-14,25.41
1,LivingRoom,2015-12-14,24.98
